Entity,Relation,Entity,Weight
Fifth-order moment between 0.35549705584202634 and 6066.188035534273, Fifth-order moment, histogram, 1273
entropy between 2.299301989847614 and 3.0664403364735264, entropy, box, 1843
Seventh-order moment between -8080.4938661637225 and -1.1803249820933024e-29, Seventh-order moment, histogram, 637
entropy between 7.226597045621564 and 8.682643008232112, entropy, heatmap, 241
max between 1.369510426136755 and 5.469374160151328, max, heatmap, 141
median between 10816.114516129033 and 17753.6826171875, median, box, 1206
sortedness between 0.41998404109189585 and 0.7945867153906053, sortedness, scatter, 12432
percent_outliers_3iqr between 0.7134887467661212 and 0.8054596785576112, percent_outliers_3iqr, bar, 6265
percent_outliers_3iqr between 0.32998837097998585 and 0.7134887467661212, percent_outliers_3iqr, heatmap, 94
entropy between 2.299301989847614 and 3.0664403364735264, entropy, line, 13184
max between 56.596889114379884 and 639.0702552057083, max, histogram, 495
lin_space_sequence_coeff between 1.0657484795201209 and 1.6128226203303184, lin_space_sequence_coeff, box, 1588
normalized_range between 21.228070812840617 and 28.202717590331986, normalized_range, histogram, 1163
num_uppercase_characters between 0 and 6, num_uppercase_characters, histogram, 2402
median between 10816.114516129033 and 17753.6826171875, median, line, 8747
isnormal_5, is_normal, bar, 9466
min between 2234.3465037487395 and 3181.360058593754, min, heatmap, 81
log_space_sequence_coeff between 0.004471472915141768 and 0.030450508665413562, log_space_sequence_coeff, box, 1321
first_char_uppercase_name_False, first_char_uppercase_name, bar, 11044
normalized_range between 1.0605909924353323 and 1.784245115326297, normalized_range, heatmap, 54
avg_abs_dev between 21.805817592374737 and 2579.8562310987904, avg_abs_dev, box, 2376
lin_space_sequence_coeff between 1.0657484795201209 and 1.6128226203303184, lin_space_sequence_coeff, line, 8287
normalized_median between 0.0006439799570568022 and 0.3451659363508224, normalized_median, bar, 2563
skewness between 0.6223711049364465 and 3.101168877463187, skewness, heatmap, 143
range between 34.0001273493613 and 164.9013685854019, range, box, 2533
log_space_sequence_coeff between 0.004471472915141768 and 0.030450508665413562, log_space_sequence_coeff, line, 9894
Eigthth-order moment between 313954491464076.7 and 2.5877225658845137e+24, Eigthth-order moment, scatter, 10077
avg_abs_dev between 21.805817592374737 and 2579.8562310987904, avg_abs_dev, line, 12519
range between 34.0001273493613 and 164.9013685854019, range, line, 14683
time, data_type, box, 460
First Quartile between 0.993269883817242 and 2.486012015035075, First Quartile, heatmap, 64
hasoutliers_15iqr, has_outliers, heatmap, 673
range between 27356.06338867178 and 43421, range, bar, 5670
time, data_type, line, 4137
decimal, data_type, heatmap, 381
Fifth-order moment between -1201.2660502772187 and -5.119229860089301e-08, Fifth-order moment, box, 1634
ninth-order moment between 728152499793781000 and 47793618722611780000000000, ninth-order moment, scatter, 10589
percent_outliers_3iqr between 0.8054596785576112 and 0.9000023295802455, percent_outliers_3iqr, scatter, 9758
ninth-order moment between 15399884.174838709 and 728152499793781000, ninth-order moment, scatter, 8727
percent_outliers_3iqr between 0.9775492457612869 and 1.9800000190734863, percent_outliers_3iqr, box, 1547
percent_outliers_3iqr between 0.9000023295802455 and 0.9631309172030419, percent_outliers_3iqr, heatmap, 83
coeff_var between 1.7603407242221216 and 5.826227477519748, coeff_var, scatter, 8911
hasoutliers_3std, has_outliers, box, 3411
Fifth-order moment between -1201.2660502772187 and -5.119229860089301e-08, Fifth-order moment, line, 9855
entropy between 0.22412365078926086 and 1.3727904235932133, entropy, histogram, 1112
min between 1.817272958832402 and 9.322483742621632, min, bar, 4255
percent_outliers_3iqr between 0.9775492457612869 and 1.9800000190734863, percent_outliers_3iqr, line, 9469
integer, data_type, box, 4280
median between 30.791238223660386 and 273.1241935483871, median, heatmap, 180
max between 26214.49350302417 and 74999.69999999998, max, bar, 4473
hasoutliers_3std, has_outliers, line, 12278
log_space_sequence_coeff between 0.030450508665413562 and 0.10070002636121156, log_space_sequence_coeff, bar, 1994
string, data_type, bar, 9740
std between 0.005012650750577393 and 1.265435202025598, std, bar, 4460
space, symbol_in_name, box, 6910
normalized_mean between 0.5259337732099718 and 0.6351002664527585, normalized_mean, scatter, 12532
First Quartile between 2000.9977107878653 and 3760.39501953125, First Quartile, histogram, 953
integer, data_type, line, 21531
is_y_src, is_x_or_y, bar, 25025
lin_space_sequence_coeff between 3.0317178572377843 and 12.837174805364283, lin_space_sequence_coeff, bar, 4237
is_log_space_True, is_log_space, scatter, 5343
space, symbol_in_name, line, 48313
normalized_median between 0.8352578886189768 and 0.9933362595496638, normalized_median, histogram, 601
lin_space_sequence_coeff between 12.837174805364283 and 19.22040605545044, lin_space_sequence_coeff, histogram, 1518
entropy between 7.226597045621564 and 8.682643008232112, entropy, box, 2467
max between 1.369510426136755 and 5.469374160151328, max, box, 2070
range between 6.755743844124582 and 34.0001273493613, range, scatter, 11930
x, symbol_in_name, histogram, 1442
percent_outliers_1_99 between 0.08696898928573049 and 0.9165140006619115, percent_outliers_1_99, heatmap, 67
entropy between 3.0664403364735264 and 4.227416124036235, entropy, heatmap, 73
max between 19.999878525272493 and 56.596889114379884, max, bar, 4746
is_monotonic_False, is_monotonic, bar, 9808
Seventh-order moment between 35631.60671685986 and 29994971860657480000, Seventh-order moment, scatter, 8781
kurtosis between -0.8387569783387646 and -0.17026565258541418, kurtosis, scatter, 9197
percent_outliers_3iqr between 0.32998837097998585 and 0.7134887467661212, percent_outliers_3iqr, box, 1419
entropy between 7.226597045621564 and 8.682643008232112, entropy, line, 12271
std between 28.3294898925289 and 3000.4648240612346, std, histogram, 798
max between 1.369510426136755 and 5.469374160151328, max, line, 15763
quant_coeff_disp between 0.019905503821228736 and 0.34838628983305325, quant_coeff_disp, bar, 6869
is_monotonic_True, is_monotonic, bar, 30392
num_unique_elements between 33.18709677419355 and 293, num_unique_elements, heatmap, 500
min between 2234.3465037487395 and 3181.360058593754, min, box, 1507
log_space_sequence_coeff between 0.10070002636121156 and 0.19951813624751183, log_space_sequence_coeff, scatter, 11267
percent_outliers_3iqr between 0.32998837097998585 and 0.7134887467661212, percent_outliers_3iqr, line, 12700
normalized_range between 1.0605909924353323 and 1.784245115326297, normalized_range, box, 2197
percent_outliers_15iqr between 0.9843483797965511 and 1.9849246144294739, percent_outliers_15iqr, bar, 2644
gini between 0.2661612808704376 and 0.381471216414244, gini, histogram, 609
avg_abs_dev between 0.0016913167480378925 and 0.8992536992026909, avg_abs_dev, heatmap, 58
percent_outliers_1_99 between 0.9165140006619115 and 0.990797292186368, percent_outliers_1_99, scatter, 9389
skewness between 0.6223711049364465 and 3.101168877463187, skewness, box, 2977
normalized_mean between 0.6351002664527585 and 0.7784608491774528, normalized_mean, scatter, 9617
min between 2234.3465037487395 and 3181.360058593754, min, line, 8825
normality_statistic between 40.29032087326056 and 278.8104670961443, normality_statistic, scatter, 7866
normalized_range between 1.0605909924353323 and 1.784245115326297, normalized_range, line, 7977
normality_statistic between 278.8104670961443 and 2755.4830602633538, normality_statistic, scatter, 8388
is_x_src, is_x_or_y, heatmap, 836
min between 0.2605670641891413 and 1.817272958832402, min, heatmap, 331
median between 273.1241935483871 and 10816.114516129033, median, bar, 5513
skewness between 0.6223711049364465 and 3.101168877463187, skewness, line, 14356
is_unique_True, is_unique, bar, 17718
is_lin_space_True, is_lin_space, histogram, 36
First Quartile between 0.993269883817242 and 2.486012015035075, First Quartile, box, 1027
lin_space_sequence_coeff between 0.683453381061554 and 1.0657484795201209, lin_space_sequence_coeff, bar, 3649
avg_abs_dev between 0.8992536992026909 and 4.595696832287696, avg_abs_dev, bar, 4157
hasoutliers_15iqr, has_outliers, box, 11381
median between 0.1103014424311057 and 5.251452979118592, median, heatmap, 160
med_abs_dev between 2.1782844193520083 and 13.45003824418591, med_abs_dev, bar, 4563
First Quartile between 0.993269883817242 and 2.486012015035075, First Quartile, line, 8225
entropy between 1.3727904235932133 and 2.299301989847614, entropy, scatter, 8131
hasoutliers_15iqr, has_outliers, line, 60288
mean between 31.850277947456604 and 281.8860048355595, mean, scatter, 16630
decimal, data_type, box, 7918
mean between 0.1916935728682625 and 4.191202395962129, mean, heatmap, 130
var between 32.22537642817343 and 802.6463076486889, var, scatter, 13290
avg_abs_dev between 2579.8562310987904 and 7894.221777343751, avg_abs_dev, histogram, 692
kurtosis between 12.258251583653111 and 19.761921501159687, kurtosis, bar, 3381
percent_outliers_3iqr between 0.9000023295802455 and 0.9631309172030419, percent_outliers_3iqr, box, 2366
categorical, general_type, heatmap, 372
med_abs_dev between 2.42659167633974e-05 and 0.7801671246847796, med_abs_dev, bar, 7261
avg_abs_dev between 4.595696832287696 and 21.805817592374737, avg_abs_dev, bar, 6203
decimal, data_type, line, 47380
Fifth-order moment between -5.119229860089301e-08 and 0.35549705584202634, Fifth-order moment, box, 2155
median between 5.251452979118592 and 30.791238223660386, median, histogram, 1066
normalized_median between 0.3451659363508224 and 0.5100700477919271, normalized_median, bar, 7030
percent_outliers_15iqr between 0.9596259197881145 and 0.9843483797965511, percent_outliers_15iqr, heatmap, 158
normality_p between 1.414449563859021e-12 and 0.0004431203660561995, normality_p, box, 3205
Sixth-order moment between 3.704795885762886e-13 and 24.470863465339907, Sixth-order moment, histogram, 508
median between 30.791238223660386 and 273.1241935483871, median, box, 2470
percent_outliers_3iqr between 0.9000023295802455 and 0.9631309172030419, percent_outliers_3iqr, line, 11808
Seventh-order moment between 29994971860657480000 and 42188275653726420000000, Seventh-order moment, box, 3281
gini between 0.09158154010772704 and 0.1794668331501945, gini, histogram, 878
var between 2.5077526515815407e-05 and 1.6052005600929224, var, bar, 4460
Tenth-order moment between 2553332197612499.5 and 5.38823068933106e+26, Tenth-order moment, heatmap, 119
Sixth-order moment between 44125102529.89933 and 131908579289215120000, Sixth-order moment, scatter, 12549
normality_p between 1.414449563859021e-12 and 0.0004431203660561995, normality_p, line, 21872
median between 30.791238223660386 and 273.1241935483871, median, line, 12037
Seventh-order moment between 29994971860657480000 and 42188275653726420000000, Seventh-order moment, line, 14110
ninth-order moment between -1401645.8064516135 and -8.465492734351432e-15, ninth-order moment, scatter, 9967
normalized_range between 0.02345926997161677 and 0.46508866788879516, normalized_range, histogram, 727
First Quartile between 2.486012015035075 and 17.989219874720412, First Quartile, histogram, 666
First Quartile between 0.003832620927958784 and 0.993269883817242, First Quartile, histogram, 2299
percent_outliers_1_99 between 0.08696898928573049 and 0.9165140006619115, percent_outliers_1_99, box, 992
y, symbol_in_name, histogram, 682
entropy between 3.0664403364735264 and 4.227416124036235, entropy, box, 1779
skewness between -0.393793818426709 and -0.008621457328779548, skewness, bar, 2865
normality_p between 0.0004431203660561995 and 0.11218227241308455, normality_p, heatmap, 98
normalized_mean between 0.12335866319556385 and 0.40559448752191757, normalized_mean, scatter, 9627
is_log_space_False, is_log_space, histogram, 5337
coeff_var between 0.0032526775221940305 and 0.6636052427753325, coeff_var, histogram, 754
ninth-order moment between 0.8167481387046068 and 15399884.174838709, ninth-order moment, bar, 10061
percent_outliers_1_99 between 0.08696898928573049 and 0.9165140006619115, percent_outliers_1_99, line, 10256
entropy between 3.0664403364735264 and 4.227416124036235, entropy, line, 8526
num_unique_elements between 33.18709677419355 and 293, num_unique_elements, box, 4428
Fifth-order moment between 602660358950995.5 and 361064105139765250, Fifth-order moment, histogram, 1025
avg_abs_dev between 0.0016913167480378925 and 0.8992536992026909, avg_abs_dev, box, 856
normality_p between 0.11218227241308455 and 0.590958889088323, normality_p, scatter, 8112
sortedness between 0.7945867153906053 and 2, sortedness, histogram, 422
num_unique_elements between 33.18709677419355 and 293, num_unique_elements, line, 19316
entropy between 4.227416124036235 and 7.226597045621564, entropy, histogram, 802
Tenth-order moment between 2059.777588441911 and 26054988855.494198, Tenth-order moment, bar, 2581
range between 164.9013685854019 and 27356.06338867178, range, bar, 4335
kurtosis between -0.17026565258541418 and 1.5766148755627292, kurtosis, heatmap, 84
Eigthth-order moment between 2.5877225658845137e+24 and 3379487092891821000000000000, Eigthth-order moment, bar, 4114
length between 29.32 and 4350, length, scatter, 42446
is_x_src, is_x_or_y, box, 3056
min between 0.2605670641891413 and 1.817272958832402, min, box, 4307
avg_abs_dev between 0.0016913167480378925 and 0.8992536992026909, avg_abs_dev, line, 9134
percent_outliers_15iqr between 0.7048739443479046 and 0.9085796858033826, percent_outliers_15iqr, heatmap, 150
sortedness between 0.41998404109189585 and 0.7945867153906053, sortedness, bar, 7515
mean between 8262.562250976542 and 26053.242773437632, mean, histogram, 410
is_x_src, is_x_or_y, line, 27140
median between 0.1103014424311057 and 5.251452979118592, median, box, 2242
min between 0.2605670641891413 and 1.817272958832402, min, line, 31930
field_name_length between 5.044516129032258 and 39, field_name_length, bar, 17326
entropy between 2.299301989847614 and 3.0664403364735264, entropy, bar, 8086
kurtosis between -1.1909797564629585 and -0.8387569783387646, kurtosis, histogram, 275
max between 5.469374160151328 and 19.999878525272493, max, heatmap, 63
Third Quartile between 0.007131026095875904 and 1.65858569099057, Third Quartile, scatter, 20878
var between 8941665.196451588 and 110410814.59999862, var, heatmap, 153
quant_coeff_disp between 8.880032987873733e-07 and 0.0017868509422987189, quant_coeff_disp, histogram, 2075
median between 0.1103014424311057 and 5.251452979118592, median, line, 17009
is_lin_space_False, is_lin_space, histogram, 5590
std between 5.671287387417208 and 28.3294898925289, std, scatter, 13293
mean between 0.1916935728682625 and 4.191202395962129, mean, box, 1870
skewness between 0.0014703517027138925 and 0.6223711049364465, skewness, histogram, 632
categorical, general_type, box, 1217
Sixth-order moment between 131908579289215120000 and 132595426535764380000000, Sixth-order moment, heatmap, 123
normalized_median between 0.6504355974735753 and 0.8352578886189768, normalized_median, histogram, 383
mean between 0.1916935728682625 and 4.191202395962129, mean, line, 15095
percent_outliers_15iqr between 0.9596259197881145 and 0.9843483797965511, percent_outliers_15iqr, box, 2374
ninth-order moment between -8.465492734351432e-15 and 0.8167481387046068, ninth-order moment, heatmap, 64
categorical, general_type, line, 3814
unique_percent between 0.5887225893235976 and 2, unique_percent, scatter, 7844
skewness between -0.008621457328779548 and 0.0014703517027138925, skewness, histogram, 685
percent_outliers_15iqr between 0.9596259197881145 and 0.9843483797965511, percent_outliers_15iqr, line, 11436
Eigthth-order moment between 6.96370545438728e-17 and 105.55832996983654, Eigthth-order moment, scatter, 7647
normalized_mean between 0.7784608491774528 and 0.9896777660615983, normalized_mean, scatter, 8550
is_only_field_False, is_only_field, histogram, 3570
Tenth-order moment between 2553332197612499.5 and 5.38823068933106e+26, Tenth-order moment, line, 8981
temporal, general_type, histogram, 47
std between 3000.4648240612346 and 10530.733789062511, std, scatter, 13623
percent_outliers_3iqr between 0.8054596785576112 and 0.9000023295802455, percent_outliers_3iqr, bar, 4588
ninth-order moment between 15399884.174838709 and 728152499793781000, ninth-order moment, bar, 3143
kurtosis between 1.5766148755627292 and 12.258251583653111, kurtosis, histogram, 1050
coeff_var between 1.7603407242221216 and 5.826227477519748, coeff_var, bar, 3254
log_space_sequence_coeff between 0.19951813624751183 and 0.528290071314381, log_space_sequence_coeff, scatter, 10022
Sixth-order moment between 24.470863465339907 and 2608316.9706451613, Sixth-order moment, scatter, 17609
percent_outliers_3iqr between 0.7134887467661212 and 0.8054596785576112, percent_outliers_3iqr, heatmap, 69
gini between 0.0039505421844941435 and 0.09158154010772704, gini, histogram, 588
mean between 4.191202395962129 and 31.850277947456604, mean, histogram, 1068
Fifth-order moment between -1201.2660502772187 and -5.119229860089301e-08, Fifth-order moment, bar, 3187
skewness between 3.101168877463187 and 4.461349153518679, skewness, scatter, 13388
normality_statistic between 11.224123300121676 and 40.29032087326056, normality_statistic, histogram, 753
Eigthth-order moment between 313954491464076.7 and 2.5877225658845137e+24, Eigthth-order moment, histogram, 608
log_space_sequence_coeff between 0.528290071314381 and 1.5822714805603022, log_space_sequence_coeff, scatter, 8964
isnormal_5, is_normal, heatmap, 565
first_char_uppercase_name_False, first_char_uppercase_name, heatmap, 692
normalized_mean between 0.5259337732099718 and 0.6351002664527585, normalized_mean, bar, 4090
kurtosis between -0.17026565258541418 and 1.5766148755627292, kurtosis, box, 2468
normalized_range between 0.46508866788879516 and 1.0605909924353323, normalized_range, scatter, 8215
normalized_mean between 0.40559448752191757 and 0.5259337732099718, normalized_mean, bar, 6338
is_log_space_True, is_log_space, bar, 2819
percent_outliers_15iqr between 0.9085796858033826 and 0.9596259197881145, percent_outliers_15iqr, scatter, 24083
percent_outliers_15iqr between 0.7048739443479046 and 0.9085796858033826, percent_outliers_15iqr, box, 2566
kurtosis between -0.17026565258541418 and 1.5766148755627292, kurtosis, line, 8788
id, symbol_in_name, histogram, 3
normalized_median between 0.5100700477919271 and 0.6504355974735753, normalized_median, scatter, 11930
Seventh-order moment between 35631.60671685986 and 29994971860657480000, Seventh-order moment, bar, 2921
kurtosis between -0.8387569783387646 and -0.17026565258541418, kurtosis, bar, 3026
range between 27356.06338867178 and 43421, range, heatmap, 125
Third Quartile between 2009.0132802261844 and 4188.793847656234, Third Quartile, scatter, 15952
percent_outliers_15iqr between 0.7048739443479046 and 0.9085796858033826, percent_outliers_15iqr, line, 19506
max between 5.469374160151328 and 19.999878525272493, max, box, 2020
ninth-order moment between 728152499793781000 and 47793618722611780000000000, ninth-order moment, histogram, 807
var between 8941665.196451588 and 110410814.59999862, var, box, 1851
percent_outliers_3std between 0.029580399275066338 and 1.0322580635547638, percent_outliers_3std, histogram, 4566
lin_space_sequence_coeff between 0.18473562403071303 and 0.683453381061554, lin_space_sequence_coeff, scatter, 12178
Tenth-order moment between 0.09400793363971076 and 2059.777588441911, Tenth-order moment, scatter, 9443
Seventh-order moment between -1.1803249820933024e-29 and 0.035443333685398086, Seventh-order moment, histogram, 782
time, symbol_in_name, scatter, 422
Fifth-order moment between 0.35549705584202634 and 6066.188035534273, Fifth-order moment, scatter, 25162
max between 5.469374160151328 and 19.999878525272493, max, line, 7413
Seventh-order moment between -8080.4938661637225 and -1.1803249820933024e-29, Seventh-order moment, scatter, 10383
var between 8941665.196451588 and 110410814.59999862, var, line, 13177
Tenth-order moment between 9.571977461719663e-21 and 0.09400793363971076, Tenth-order moment, histogram, 508
Sixth-order moment between 131908579289215120000 and 132595426535764380000000, Sixth-order moment, box, 1448
normality_statistic between 40.29032087326056 and 278.8104670961443, normality_statistic, bar, 3441
normality_statistic between 278.8104670961443 and 2755.4830602633538, normality_statistic, bar, 2106
max between 56.596889114379884 and 639.0702552057083, max, scatter, 9181
normalized_range between 21.228070812840617 and 28.202717590331986, normalized_range, scatter, 9782
num_uppercase_characters between 0 and 6, num_uppercase_characters, scatter, 25198
ninth-order moment between -8.465492734351432e-15 and 0.8167481387046068, ninth-order moment, box, 2121
skewness between 0.6223711049364465 and 3.101168877463187, skewness, bar, 5187
Sixth-order moment between 131908579289215120000 and 132595426535764380000000, Sixth-order moment, line, 9794
max between 26214.49350302417 and 74999.69999999998, max, heatmap, 100
Tenth-order moment between 26054988855.494198 and 2553332197612499.5, Tenth-order moment, histogram, 891
log_space_sequence_coeff between 0.030450508665413562 and 0.10070002636121156, log_space_sequence_coeff, heatmap, 110
string, data_type, heatmap, 372
std between 0.005012650750577393 and 1.265435202025598, std, heatmap, 58
ninth-order moment between -8.465492734351432e-15 and 0.8167481387046068, ninth-order moment, line, 8118
range between 6.755743844124582 and 34.0001273493613, range, histogram, 1311
entropy between 1.3727904235932133 and 2.299301989847614, entropy, bar, 7297
is_y_src, is_x_or_y, heatmap, 287
lin_space_sequence_coeff between 3.0317178572377843 and 12.837174805364283, lin_space_sequence_coeff, heatmap, 145
kurtosis between -1.484341488230613 and -1.1909797564629585, kurtosis, bar, 9970
mean between 31.850277947456604 and 281.8860048355595, mean, bar, 7737
Eigthth-order moment between 105.55832996983654 and 7902707318.585811, Eigthth-order moment, histogram, 1695
log_space_sequence_coeff between 0.10070002636121156 and 0.19951813624751183, log_space_sequence_coeff, histogram, 819
max between 19.999878525272493 and 56.596889114379884, max, heatmap, 114
is_monotonic_False, is_monotonic, heatmap, 374
percent_outliers_3iqr between 0.7134887467661212 and 0.8054596785576112, percent_outliers_3iqr, box, 1398
mean between 281.8860048355595 and 8262.562250976542, mean, scatter, 14091
is_monotonic_True, is_monotonic, heatmap, 749
isnormal_5, is_normal, box, 6397
percent_outliers_3iqr between 0.7134887467661212 and 0.8054596785576112, percent_outliers_3iqr, line, 7612
first_char_uppercase_name_False, first_char_uppercase_name, box, 1836
percent_outliers_15iqr between 0.9843483797965511 and 1.9849246144294739, percent_outliers_15iqr, heatmap, 190
Sixth-order moment between 44125102529.89933 and 131908579289215120000, Sixth-order moment, bar, 4735
isnormal_5, is_normal, line, 37324
dollar, symbol_in_name, histogram, 2
ninth-order moment between -1401645.8064516135 and -8.465492734351432e-15, ninth-order moment, bar, 3276
first_char_uppercase_name_False, first_char_uppercase_name, line, 15050
gini between 0.09158154010772704 and 0.1794668331501945, gini, heatmap, 65
median between 273.1241935483871 and 10816.114516129033, median, heatmap, 108
entropy between 0.22412365078926086 and 1.3727904235932133, entropy, scatter, 9681
is_unique_True, is_unique, heatmap, 285
lin_space_sequence_coeff between 0.683453381061554 and 1.0657484795201209, lin_space_sequence_coeff, heatmap, 25
range between 27356.06338867178 and 43421, range, box, 1722
normalized_mean between 0.9896777660615983 and 2, normalized_mean, histogram, 677
normalized_mean between 0.12335866319556385 and 0.40559448752191757, normalized_mean, bar, 2749
sortedness between 0.08363238902341927 and 0.41998404109189585, sortedness, scatter, 10465
var between 32.22537642817343 and 802.6463076486889, var, histogram, 828
min between 9.322483742621632 and 69.52466286197784, min, histogram, 610
has_none_True, has_none, heatmap, 26
Third Quartile between 1.65858569099057 and 18.23213297659351, Third Quartile, histogram, 672
range between 27356.06338867178 and 43421, range, line, 11433
normalized_median between 0.8352578886189768 and 0.9933362595496638, normalized_median, scatter, 9825
lin_space_sequence_coeff between 12.837174805364283 and 19.22040605545044, lin_space_sequence_coeff, scatter, 10728
normality_p between 0.11218227241308455 and 0.590958889088323, normality_p, bar, 3301
kurtosis between 12.258251583653111 and 19.761921501159687, kurtosis, heatmap, 90
x, symbol_in_name, scatter, 18758
length between 29.32 and 4350, length, bar, 31933
avg_abs_dev between 4.595696832287696 and 21.805817592374737, avg_abs_dev, heatmap, 169
coeff_var between 0.6636052427753325 and 1.7603407242221216, coeff_var, histogram, 950
gini between 0.1794668331501945 and 0.2661612808704376, gini, histogram, 1198
std between 28.3294898925289 and 3000.4648240612346, std, scatter, 13109
normality_p between 0.590958889088323 and 1.666847586631775, normality_p, histogram, 598
var between 1.6052005600929224 and 32.22537642817343, var, histogram, 1877
normalized_median between 0.3451659363508224 and 0.5100700477919271, normalized_median, heatmap, 131
min between 1.817272958832402 and 9.322483742621632, min, box, 1534
quant_coeff_disp between 0.34838628983305325 and 1.5, quant_coeff_disp, scatter, 8437
max between 26214.49350302417 and 74999.69999999998, max, box, 1143
log_space_sequence_coeff between 0.030450508665413562 and 0.10070002636121156, log_space_sequence_coeff, box, 2188
string, data_type, box, 1217
std between 0.005012650750577393 and 1.265435202025598, std, box, 866
percent_outliers_1_99 between 0.990797292186368 and 2, percent_outliers_1_99, heatmap, 261
var between 2.5077526515815407e-05 and 1.6052005600929224, var, heatmap, 58
is_nan_src, is_x_or_y, bar, 4
min between 1.817272958832402 and 9.322483742621632, min, line, 7021
Third Quartile between 0.007131026095875904 and 1.65858569099057, Third Quartile, bar, 6919
is_y_src, is_x_or_y, box, 10818
max between 26214.49350302417 and 74999.69999999998, max, line, 8996
lin_space_sequence_coeff between 3.0317178572377843 and 12.837174805364283, lin_space_sequence_coeff, box, 2657
log_space_sequence_coeff between 0.030450508665413562 and 0.10070002636121156, log_space_sequence_coeff, line, 9268
string, data_type, line, 3814
std between 0.005012650750577393 and 1.265435202025598, std, line, 9119
median between 0.1103014424311057 and 5.251452979118592, median, bar, 4680
Fifth-order moment between -5.119229860089301e-08 and 0.35549705584202634, Fifth-order moment, histogram, 805
normality_statistic between 2.4420980342741934 and 11.224123300121676, normality_statistic, histogram, 585
Sixth-order moment between 2608316.9706451613 and 44125102529.89933, Sixth-order moment, histogram, 1038
is_lin_space_True, is_lin_space, scatter, 9719
is_y_src, is_x_or_y, line, 49715
lin_space_sequence_coeff between 3.0317178572377843 and 12.837174805364283, lin_space_sequence_coeff, line, 9377
gini between 0.5444116135758735 and 1.7769320607185364, gini, histogram, 446
max between 19.999878525272493 and 56.596889114379884, max, box, 1903
is_monotonic_False, is_monotonic, box, 1221
is_sorted_False, is_sorted, histogram, 4547
